STAT_ID,Temp_water,pH,DO_mgL,DOSAT,TOC
100037,13.1046511628,7.09473684211,NaN,78.1131550388,569.9442
100038,12.3224637681,6.79191176471,NaN,94.8817204301,797.840057143
100039,13.3754471545,7.13734693878,NaN,82.3481016949,NaN
100040,14.8970588235,7.276625,NaN,93.7399117647,659.179
100041,20.6,7.05285714286,NaN,95.0805714286,661.527
100042,15.65,6.965,NaN,82.8615,NaN
100043,18.0875,6.78125,NaN,68.466,710.199
100044,13.8857142857,7.11605882353,NaN,84.3368571429,729.8474
100045,15.55,7.075,NaN,99.6575,NaN
100046,15.9,7.195,NaN,91.4115,NaN
100047,11.4597156398,6.67630331754,NaN,84.5396039604,555.04675
100048,18.9571428571,6.63571428571,NaN,91.1285714286,553.1262
100049,14.9,6.97407692308,NaN,96.2539285714,719.313
100050,11.7976744186,6.69162790698,NaN,97.2242990654,583.559771574
100051,12.59375,7.08666666667,NaN,98.5416666667,401.933355556
100052,12.558781362,7.14297491039,NaN,103.076086957,398.052097656
100053,14.3877192982,7.32649122807,NaN,95.5543859649,422.937634615
100054,15.2810344828,7.70051724138,NaN,100.489655172,765.930215686
100055,14.8,7.1,NaN,95,NaN
100056,13.6139534884,7.26435215947,NaN,100.494949495,532.108706564
100057,7.34,7.34,NaN,104,NaN
100058,6.4,5.8,NaN,92,NaN
100059,14.9,6.53,NaN,95.9,NaN
100060,20.1,6.135,NaN,88.55,NaN
100061,16.3,6.89,NaN,100,NaN
100062,7.84848484848,7.08212121212,NaN,67.9054545455,NaN
100063,20.5,6.69,NaN,111,NaN
100064,7.96764705882,7.16323529412,NaN,65.7473529412,NaN
100065,17,6.9,NaN,96.8,NaN
100066,10.1022727273,6.92272727273,NaN,100.485714286,408.599769231
100067,17.5,7.29,NaN,100,NaN
100068,11.7621621622,6.73243243243,NaN,68.5653783784,NaN
100069,18.9,6.03,NaN,86.6,NaN
100070,16.5,7.04,NaN,97.9,NaN
100071,10.5338983051,7.23728813559,NaN,97.3035714286,306.386
100072,22.1,6.79,NaN,103,NaN
100073,10.7461538462,6.77538461538,NaN,96.9565217391,411.081458333
100074,22.5,6.59,NaN,84,NaN
100075,20.9,6.6,NaN,95.596,NaN
100076,11.3,4,NaN,94.3,NaN
100077,22.2,7.16,NaN,99.15,NaN
100078,20.05,6.14,NaN,80.5,NaN
100079,20,7.05,NaN,100,NaN
100080,22.4,6.76,NaN,108.321,NaN
100081,9.6,6.26,NaN,98,NaN
100082,11.4,6.48,NaN,105,NaN
100083,19.4,6.83,NaN,102,NaN
100084,14.2,6.585,NaN,103.5,NaN
100085,20,7.12,NaN,97.7,NaN
100086,21.1,8.1,NaN,106,NaN
100087,9.36703296703,7.28466666667,NaN,86.9963033708,NaN
100088,26,6.46,NaN,96.5,NaN
100089,7.6,7.518,NaN,99.7588,NaN
100090,14.6,6.785,NaN,92.95,NaN
100091,16.3,6.57,NaN,97,NaN
100092,19.9,5.49,NaN,100,NaN
100093,7.7,5.78,NaN,93,NaN
100094,21.6,6.38,NaN,93.1,NaN
100095,18.8,6.73,NaN,82.4,NaN
100097,21.8,6.68,NaN,88.3,NaN
100098,12.4108747045,7.20847619048,NaN,93.2238601896,382.588078853
100099,17.65,6.085,NaN,77.25,NaN
100100,13.2755102041,7.52895833333,NaN,95.1542653061,312.570571429
100101,15.4142857143,7.50285714286,NaN,92.6857142857,403.7965
100102,17.3,6.41,NaN,98,NaN
100103,19.9,6.47,NaN,104,NaN
100104,10.616,7.22,NaN,97.16,338.311416667
100105,12.085106383,7.46127659574,NaN,101.914893617,341.335717391
100106,13.1952380952,7.08658536585,NaN,99.3198292683,NaN
100107,13.2642857143,7.21625,NaN,93.1252727273,338.441352941
100108,14.0847222222,7.57694444444,NaN,99.3921805556,476.6602
100109,19.15,6.225,NaN,76.692,NaN
100110,24,6.4,NaN,NaN,NaN
100111,14.3,7,NaN,99.8095,NaN
100112,12.2425531915,7.29957446809,NaN,99.0538510638,317.971863636
100113,12.5461538462,7.48923076923,NaN,87.7769230769,371.910686275
100114,14.2660377358,7.61188679245,NaN,93.3226415094,395.214882353
100115,16.1,6.66,NaN,89.5,NaN
100116,18.8,6.78,NaN,95.6,NaN
100117,19.3,7.31,NaN,102,NaN
100118,18.3,6.92,NaN,73.1,NaN
100119,19,7.1,NaN,90.1,NaN
