WH_ID,lon,lat,WH_SO,RA_cms_cyr,RA_cms_cmn,RA_cms_cmx,RA_SO,RA_dm,RA_lm,my_lm,RA_xam2,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav,dist_m
S19S_0031,-122.1650676,44.2602628,1 ,0.592,0.149,1.026,1,0.207804,5.50,5500.36566989,0.881091,1348,0,561,1053,151,710,68,166,68,1892,298,1892,651,97,651,52,181,52,27,60,27,100,100,0,0,0,0,0,0,0,0,0,0,95,95,10,10,39,39,51,51,106,106,81,56,81,0,0,790,790,0.000,0.000,0.001,0.001,0,0,0,0,20,20,13,13,0.047639,0.002294,928, 21.462575721
S19S_0032,-119.02313,39.95545,1 ,0.033,0.000,0.137,2,0.0981287,17.28,16000.7266325,0.151736,29,0,1262,1526,35,83,94,231,87,174,11,193,152,22,169,-86,96,-84,5,39,6,5,3,0,1,76,91,0,0,0,0,0,0,0,0,15,15,31,30,54,56,9,11,14,15,16,0,0,1217,813,0.000,0.000,0.000,0.000,0,0,0,0,0,0,13,25,0.048454,0,905, 1013.53421729
S19S_0033,-119.2554,37.0576,2 ,0.749,0.120,2.082,2,0.265042,12.97,12500.4150826,1.66893,253,0,475,1369,128,503,116,174,110,833,155,854,596,88,593,-30,174,-26,16,48,18,100,100,0,1,5,6,0,0,0,0,0,0,0,0,13,13,30,30,57,57,48,49,57,83,59,0,0,420,732,0.002,0.009,0.030,0.100,0,0,0,0,0,23,6,5,0.055768,2.39998,951, 136.579735276
S19S_0034,-106.5233,35.8677,1 ,0.020,0.006,0.049,1,0.0680952,2.13,2132.70394539,0.134272,34,0,676,2852,109,67,38,193,38,667,66,667,562,62,562,-30,123,-30,31,87,31,90,90,1,1,14,14,0,0,0,0,0,0,100,100,10,10,35,35,55,55,73,73,64,33,64,0,0,1064,1064,0.000,0.000,0.000,0.000,0,0,53,100,2,2,23,23,0.043737,0,889, 1601.23324398
S19S_0035,-110.757838,32.42735,1 ,0.016,0.004,0.049,1,0.0669014,3.65,3652.02496279,0.10411,16,0,792,2177,176,1918,115,168,115,691,109,691,587,46,587,-40,138,-40,4,18,4,100,100,0,0,16,16,0,0,0,0,0,0,87,87,15,15,33,33,52,52,38,38,55,38,55,0,0,9330,9330,0.022,0.022,0.673,0.672,0,0,544,500,15,15,57,57,0.045307,0.944388,932, 3032.10181176
S19S_0036,-119.271902,46.372515,8 ,3512.290,876.474,9102.739,7,7.80822,6.12,6124.34212425,3398.66,23,627,385,146,28,3,118,229,38,189,24,624,166,29,441,-83,148,-19,1,10,38,30,67,43,7,12,9,6,2,0,1,0,3,3,12,12,12,31,39,57,48,13,62,18,23,64,0,18,487,1903,0.059,1876.080,3.373,7.938,0,0,3297,300,308,91,151,35,0.055867,94978.4,948, 564.780272056
S19S_0037,-75.7830393,39.8577967,2 ,0.318,0.164,0.799,1,0.169029,2.79,2788.65753663,1.29104,590,0,178,133,24,74,113,249,113,1137,40,1137,838,103,838,9,112,9,7,38,7,81,81,47,47,20,20,0,0,0,0,0,0,0,0,19,19,36,36,45,45,36,36,86,33,86,35,35,5326,5326,0.590,0.590,34.917,34.921,0,0,3110,3100,808,808,243,244,0.053263,27.6851,943, 16.4659755128
S19S_0038,-75.7839486,39.8594333,2 ,0.318,0.164,0.799,1,0.169029,2.79,2788.65753663,1.29104,590,0,178,133,24,74,113,249,113,1137,40,1137,838,103,838,9,112,9,7,38,7,81,81,47,47,20,20,0,0,0,0,0,0,0,0,19,19,36,36,45,45,36,36,86,33,86,35,35,5326,5326,0.590,0.590,34.917,34.921,0,0,3110,3100,808,808,243,244,0.053263,27.6851,943, 32.8825160069
S19S_0039,-84.359197,35.966194,3 ,1.125,0.457,2.218,2,0.343469,6.05,6049.02229445,1.82975,752,0,251,278,49,33,138,226,138,1359,64,1358,974,104,972,8,114,9,0,2,0,100,61,8,8,2,2,0,0,0,0,0,0,0,0,24,24,40,40,37,37,40,34,82,38,83,72,29,521,1509,1.543,14.379,106.758,304.801,8,39,2776,4800,477,1047,221,286,0.045808,642.352,810, 178.465817736
S19S_0040,-96.584725,39.087889,1 ,0.117,0.054,0.249,1,0.127298,4.86,4861.27799243,0.376132,173,0,326,379,30,60,121,291,121,866,117,866,735,100,735,-25,63,-25,2,12,2,0,0,33,33,14,14,2,2,0,0,0,0,79,79,25,25,49,49,25,25,25,25,65,14,65,100,100,2184,2184,0.028,0.028,1.287,1.286,0,0,690,700,343,343,63,63,0.051129,1.29663,934, 1845.7028283
