Study_Code,Sample_ID,00681_NPOC_mg_per_L_as_C
WHONDRS_S19S,S19S_0062_Sed_Field_ICR-D,5.45
WHONDRS_S19S,S19S_0093_Sed_Field_ICR-D,25.04
WHONDRS_S19S,S19S_0010_Sed_Field_ICR-D,10.82
WHONDRS_S19S,S19S_0062_Sed_Field_ICR-U,6.47
WHONDRS_S19S,S19S_0024_Sed_Field_ICR-D,45.55
WHONDRS_S19S,S19S_0085_Sed_Field_ICR-M,16.71
WHONDRS_S19S,S19S_0010_Sed_Field_ICR-M,20.73
WHONDRS_S19S,S19S_0030_Sed_Field_ICR-M,12.24
WHONDRS_S19S,S19S_0050_Sed_Field_ICR-M,28.03
WHONDRS_S19S,S19S_0037_Sed_Field_ICR-M,41.86
WHONDRS_S19S,S19S_0047_Sed_Field_ICR-U,37.71
WHONDRS_S19S,S19S_0085_Sed_Field_ICR-U,31.34
WHONDRS_S19S,S19S_0008_Sed_Field_ICR-D,21.39
WHONDRS_S19S,S19S_0040_Sed_Field_ICR-M,18.92
WHONDRS_S19S,S19S_0093_Sed_Field_ICR-U,50.29
WHONDRS_S19S,S19S_0033_Sed_Field_ICR-D,12.85
WHONDRS_S19S,S19S_0024_Sed_Field_ICR-U,51.83
WHONDRS_S19S,S19S_0008_Sed_Field_ICR-M,30.38
WHONDRS_S19S,S19S_0087_Sed_Field_ICR-D,30.17
WHONDRS_S19S,S19S_0093_Sed_Field_ICR-M,36.46
WHONDRS_S19S,S19S_0051_Sed_Field_ICR-M,30.18
WHONDRS_S19S,S19S_0008_Sed_Field_ICR-U,95.44
WHONDRS_S19S,S19S_0004_Sed_Field_ICR-U,13.09
WHONDRS_S19S,S19S_0064_Sed_Field_ICR-U,13.79
WHONDRS_S19S,S19S_0007_Sed_Field_ICR-D,69.56
WHONDRS_S19S,S19S_0050_Sed_Field_ICR-D,12.52
WHONDRS_S19S,S19S_0047_Sed_Field_ICR-M,70.18
WHONDRS_S19S,S19S_0051_Sed_Field_ICR-U,15.72
WHONDRS_S19S,S19S_0094_Sed_Field_ICR-M,5.46
WHONDRS_S19S,S19S_0061_Sed_Field_ICR-U,44.52
WHONDRS_S19S,S19S_0059_Sed_Field_ICR-D,37.02
WHONDRS_S19S,S19S_0003_Sed_Field_ICR-M,30.92
WHONDRS_S19S,S19S_0063_Sed_Field_ICR-D,14.32
WHONDRS_S19S,S19S_0003_Sed_Field_ICR-D,17.21
WHONDRS_S19S,S19S_0096_Sed_Field_ICR-U,67
WHONDRS_S19S,S19S_0087_Sed_Field_ICR-M,25.82
WHONDRS_S19S,S19S_0059_Sed_Field_ICR-U,41.07
WHONDRS_S19S,S19S_0051_Sed_Field_ICR-D,31.52
WHONDRS_S19S,S19S_0008_Sed_Field_ICR-D,21.39
WHONDRS_S19S,S19S_0087_Sed_Field_ICR-U,25.61
WHONDRS_S19S,S19S_0067_Sed_Field_ICR-U,46.59
WHONDRS_S19S,S19S_0094_Sed_Field_ICR-D,7.57
WHONDRS_S19S,S19S_0016_SED_INC_ICR-D,5.72
WHONDRS_S19S,S19S_0015_SED_INC_ICR-D,11.21
WHONDRS_S19S,S19S_0050_SED_INC_ICR-D,7.15
WHONDRS_S19S,S19S_0032_SED_INC_ICR-D,25.64
WHONDRS_S19S,S19S_0039_SED_INC_ICR-D,10.65
WHONDRS_S19S,S19S_0045_Sed_Field_ICR-D,14.61
WHONDRS_S19S,S19S_0022_SED_INC_ICR-D,4.32
WHONDRS_S19S,S19S_0086_SED_INC_ICR-D,13.44
WHONDRS_S19S,S19S_0029_SED_INC_ICR-D,12.01
WHONDRS_S19S,S19S_0054_SED_INC_ICR-D,6.99
WHONDRS_S19S,S19S_0087_SED_INC_ICR-D,10.91
WHONDRS_S19S,S19S_0027_SED_INC_ICR-D,7.55
WHONDRS_S19S,S19S_0037_SED_INC_ICR-D,11.88
WHONDRS_S19S,S19S_0044_SED_INC_ICR-D,17.64
WHONDRS_S19S,S19S_0062_SED_INC_ICR-D,8.31
WHONDRS_S19S,S19S_0075_SED_INC_ICR-D,9.6
WHONDRS_S19S,S19S_0009_SED_INC_ICR-D,24.87
WHONDRS_S19S,S19S_0067_SED_INC_ICR-D,14.72
WHONDRS_S19S,S19S_0055_SED_INC_ICR-D,6.05
WHONDRS_S19S,S19S_0020_SED_INC_ICR-D,30.84
WHONDRS_S19S,S19S_0024_SED_INC_ICR-D,13.12
WHONDRS_S19S,S19S_0023_SED_INC_ICR-D,16.78
WHONDRS_S19S,S19S_0090_SED_INC_ICR-D,10.2
WHONDRS_S19S,S19S_0077_SED_INC_ICR-D,8.83
WHONDRS_S19S,S19S_0072_SED_INC_ICR-D,9.17
WHONDRS_S19S,S19S_0083_SED_INC_ICR-D,4.78
WHONDRS_S19S,S19S_0080_SED_INC_ICR-D,16.02
WHONDRS_S19S,S19S_0059_SED_INC_ICR-D,20.46
WHONDRS_S19S,S19S_0079_SED_INC_ICR-D,14.41
WHONDRS_S19S,S19S_0047_SED_INC_ICR-D,10.06
WHONDRS_S19S,S19S_0019_SED_INC_ICR-D,5.73
WHONDRS_S19S,S19S_0033_SED_INC_ICR-D,9
WHONDRS_S19S,S19S_0070_SED_INC_ICR-D,6.83
WHONDRS_S19S,S19S_0031_SED_INC_ICR-D,13.11
WHONDRS_S19S,S19S_0100_SED_INC_ICR-D,19.75
WHONDRS_S19S,S19S_0007_SED_INC_ICR-D,15.08
WHONDRS_S19S,S19S_0052_SED_INC_ICR-D,11.5
WHONDRS_S19S,S19S_0012_SED_INC_ICR-D,18.5
WHONDRS_S19S,S19S_0043_SED_INC_ICR-D,26.89
WHONDRS_S19S,S19S_0073_SED_INC_ICR-D,15.53
WHONDRS_S19S,S19S_0011_SED_INC_ICR-D,4.67
WHONDRS_S19S,S19S_0066_SED_INC_ICR-D,16.41
WHONDRS_S19S,S19S_0051_SED_INC_ICR-D,16.72
WHONDRS_S19S,S19S_0013_SED_INC_ICR-D,18.7
WHONDRS_S19S,S19S_0082_SED_INC_ICR-D,51.73
WHONDRS_S19S,S19S_0076_SED_INC_ICR-D,23.34
WHONDRS_S19S,S19S_0064_SED_INC_ICR-D,5.55
WHONDRS_S19S,S19S_0063_SED_INC_ICR-D,6.4
WHONDRS_S19S,S19S_0089_SED_INC_ICR-D,60.18
WHONDRS_S19S,S19S_0085_SED_INC_ICR-D,11.4
WHONDRS_S19S,S19S_0071_SED_INC_ICR-D,14.11
WHONDRS_S19S,S19S_0036_SED_INC_ICR-D,16.88
WHONDRS_S19S,S19S_0098_SED_INC_ICR-D,37.11
WHONDRS_S19S,S19S_0035_SED_INC_ICR-D,15.9
WHONDRS_S19S,S19S_0084_SED_INC_ICR-D,11.47
WHONDRS_S19S,S19S_0026_SED_INC_ICR-D,15.01
WHONDRS_S19S,S19S_0069_SED_INC_ICR-D,9.07
WHONDRS_S19S,S19S_0021_SED_INC_ICR-D,8.69
WHONDRS_S19S,S19S_0099_SED_INC_ICR-D,9.59
WHONDRS_S19S,S19S_0074_SED_INC_ICR-D,12.84
WHONDRS_S19S,S19S_0034_SED_INC_ICR-D,15.9
WHONDRS_S19S,S19S_0061_SED_INC_ICR-D,19.99
WHONDRS_S19S,S19S_0014_SED_INC_ICR-D,15.49
WHONDRS_S19S,S19S_0017_SED_INC_ICR-D,9.02
WHONDRS_S19S,S19S_0008_SED_INC_ICR-D,18.12
WHONDRS_S19S,S19S_0060_SED_INC_ICR-D,11.1
WHONDRS_S19S,S19S_0028_SED_INC_ICR-D,10.44
WHONDRS_S19S,S19S_0097_SED_INC_ICR-D,21.75
WHONDRS_S19S,S19S_0018_SED_INC_ICR-D,11.64
WHONDRS_S19S,S19S_0038_SED_INC_ICR-D,9.44
WHONDRS_S19S,S19S_0053_SED_INC_ICR-D,11.03
WHONDRS_S19S,S19S_0028_SED_INC_ICR-M,40
WHONDRS_S19S,S19S_0022_SED_INC_ICR-M,5.12
WHONDRS_S19S,S19S_0077_SED_INC_ICR-M,12.2
WHONDRS_S19S,S19S_0037_SED_INC_ICR-M,15.42
WHONDRS_S19S,S19S_0090_SED_INC_ICR-M,15.55
WHONDRS_S19S,S19S_0043_SED_INC_ICR-M,7.97
WHONDRS_S19S,S19S_0032_SED_INC_ICR-M,10.25
WHONDRS_S19S,S19S_0055_SED_INC_ICR-M,16.29
WHONDRS_S19S,S19S_0071_SED_INC_ICR-M,17.7
WHONDRS_S19S,S19S_0021_SED_INC_ICR-M,9.88
WHONDRS_S19S,S19S_0085_SED_INC_ICR-M,12.07
WHONDRS_S19S,S19S_0020_SED_INC_ICR-M,7.04
WHONDRS_S19S,S19S_0015_SED_INC_ICR-M,10.93
WHONDRS_S19S,S19S_0070_SED_INC_ICR-M,8.77
WHONDRS_S19S,S19S_0047_SED_INC_ICR-M,28.76
WHONDRS_S19S,S19S_0050_SED_INC_ICR-M,15.41
WHONDRS_S19S,S19S_0019_SED_INC_ICR-M,12.98
WHONDRS_S19S,S19S_0086_SED_INC_ICR-M,7.3
WHONDRS_S19S,S19S_0100_SED_INC_ICR-M,7.16
WHONDRS_S19S,S19S_0066_SED_INC_ICR-M,19.7
WHONDRS_S19S,S19S_0074_SED_INC_ICR-M,11.37
WHONDRS_S19S,S19S_0035_SED_INC_ICR-M,9.8
WHONDRS_S19S,S19S_0067_SED_INC_ICR-M,26.3
WHONDRS_S19S,S19S_0098_SED_INC_ICR-M,36.26
WHONDRS_S19S,S19S_0078_SED_INC_ICR-M,13.91
WHONDRS_S19S,S19S_0082_SED_INC_ICR-M,22.8
WHONDRS_S19S,S19S_0052_SED_INC_ICR-M,22.09
WHONDRS_S19S,S19S_0069_SED_INC_ICR-M,6.77
WHONDRS_S19S,S19S_0029_SED_INC_ICR-M,25.06
WHONDRS_S19S,S19S_0068_SED_INC_ICR-M,8.18
WHONDRS_S19S,S19S_0034_SED_INC_ICR-M,12.09
WHONDRS_S19S,S19S_0059_SED_INC_ICR-M,25.61
WHONDRS_S19S,S19S_0072_SED_INC_ICR-M,9.34
WHONDRS_S19S,S19S_0083_SED_INC_ICR-M,13.03
WHONDRS_S19S,S19S_0027_SED_INC_ICR-M,11.79
WHONDRS_S19S,S19S_0097_SED_INC_ICR-M,15.79
WHONDRS_S19S,S19S_0018_SED_INC_ICR-M,14.59
WHONDRS_S19S,S19S_0024_SED_INC_ICR-M,28.8
WHONDRS_S19S,S19S_0051_SED_INC_ICR-M,14.87
WHONDRS_S19S,S19S_0016_SED_INC_ICR-M,21.02
WHONDRS_S19S,S19S_0033_SED_INC_ICR-M,6.71
WHONDRS_S19S,S19S_0017_SED_INC_ICR-M,5.92
WHONDRS_S19S,S19S_0089_SED_INC_ICR-M,41.86
WHONDRS_S19S,S19S_0064_SED_INC_ICR-M,28.13
WHONDRS_S19S,S19S_0023_SED_INC_ICR-M,14.61
WHONDRS_S19S,S19S_0036_SED_INC_ICR-M,14.52
WHONDRS_S19S,S19S_0087_SED_INC_ICR-M,11.55
